english,chinese
australia china relations,澳中关系
wine tariffs australia,澳大利亚葡萄酒关税
barley tariffs,大麦关税
coal ban australia,澳大利亚煤炭禁令
14 grievances,14条不满
economic punishment,经济惩罚
political interference,政治干涉
sam dastyari,邓森
gladys liu,廖婵娥
foreign influence australia,外国影响澳大利亚
united front australia,澳大利亚统战
chinese influence operations,中国影响力行动
political donations china,中国政治捐款
chau chak wing,周泽荣
huang xiangmo,黄向墨
foreign influence laws,外国影响法
sharp power,锐实力
soft power china,中国软实力
panda diplomacy,熊猫外交
charm offensive,魅力攻势
wolf warrior reversal,战狼逆转
image management,形象管理
tell china's story,讲好中国故事
external propaganda,对外宣传
global times english,环球时报英文版
china watch insert,中国观察插页
paid content newspapers,报纸付费内容
ccp propaganda abroad,海外中共宣传
disinformation china,中国虚假信息
fake social media,虚假社交媒体
bot networks china,中国机器人网络
spamouflage,垃圾信息伪装
influence operations,影响力行动
election interference,选举干预
taiwan election,台湾选举
disinformation taiwan,台湾虚假信息
cognitive warfare,认知战
media manipulation,媒体操纵
information warfare,信息战
pla strategic support force,战略支援部队
cyber command china,中国网络司令部
three warfares,三战
psychological warfare,心理战
public opinion warfare,舆论战
legal warfare,法律战
lawfare china,中国法律战
international courts china,中国国际法院
wto disputes,世贸争端
south china sea ruling rejection,南海裁决拒绝
international law china,中国国际法
rules based order,基于规则的秩序
un security council,联合国安理会
veto russia china,俄中否决
syria veto,叙利亚否决
north korea sanctions,朝鲜制裁
iran sanctions,伊朗制裁
china sanctions evasion,中国制裁规避
secondary sanctions,次级制裁
oil imports iran,伊朗石油进口
russia china alliance,俄中联盟
no limits partnership,无上限伙伴关系
ukraine war china,中国乌克兰战争
russia support,支持俄罗斯
sanctions evasion russia,俄罗斯制裁规避
dual use exports,两用出口
military technology russia,俄罗斯军事技术
joint military exercises,联合军演
vostok exercises,东方军演
arctic cooperation,北极合作
polar silk road,冰上丝绸之路
brics expansion,金砖扩容
sco expansion,上合扩容
alternative to west,西方替代
de-dollarization,去美元化
yuan internationalization,人民币国际化
swift alternative,swift替代
cips,人民币跨境支付系统
digital yuan,数字人民币
cbdc china,中国央行数字货币
financial surveillance,金融监控
capital controls,资本管制
foreign exchange controls,外汇管制
currency manipulation,汇率操纵
treasury holdings,美债持有
debt weapon,债务武器
financial decoupling,金融脱钩
investment restrictions,投资限制
cfius,美国外资投资委员会
outbound investment screening,对外投资审查
data restrictions,数据限制
tiktok ban,tiktok禁令
wechat ban,微信禁令
chinese app bans,中国应用禁令
technology restrictions,技术限制
clean network,清洁网络
trusted vendors,可信供应商
huawei ban,华为禁令
zte ban,中兴禁令
telecom equipment,电信设备
rip and replace,拆除更换
rural broadband china,农村宽带中国
surveillance equipment ban,监控设备禁令
dahua ban,大华禁令
hikvision ban,海康威视禁令
uyghur forced labor prevention act,维吾尔强迫劳动预防法
import ban xinjiang,新疆进口禁令
cotton ban,棉花禁令
tomato ban xinjiang,新疆番茄禁令
polysilicon xinjiang,新疆多晶硅
solar panels xinjiang,新疆太阳能板
supply chain transparency,供应链透明
forced labor audit,强迫劳动审计
corporate responsibility china,中国企业责任
esg china,中国esg
human rights due diligence,人权尽职调查
business human rights,商业与人权
complicity corporations,企业共谋
apple china labor,苹果中国劳工
nike china labor,耐克中国劳工
disney xinjiang,迪士尼新疆
mulan xinjiang,花木兰新疆
filming xinjiang,新疆拍摄
thank you xinjiang,感谢新疆
propaganda cooperation,宣传合作
hollywood china censorship,好莱坞中国审查
top gun taiwan,壮志凌云台湾
red dawn remake,赤色黎明重拍
marvel china,漫威中国
nba china,nba中国
daryl morey,莫雷
hong kong tweet,香港推文
sports censorship,体育审查
olympic censorship,奥运审查
beijing olympics 2022,2022北京冬奥会
diplomatic boycott,外交抵制
uyghur torch relay,维吾尔火炬传递
peng shuai olympics,彭帅冬奥会
ioc complicity,国际奥委会共谋
thomas bach,巴赫
athlete censorship,运动员审查
free speech olympics,奥运言论自由
protest ban olympics,奥运抗议禁令
rule 50,规则50
social media olympics,奥运社交媒体
vpn olympics,奥运vpn
journalist restrictions olympics,奥运记者限制
covid bubble,新冠气泡
closed loop,闭环管理
